Genotype_code,Loc.Year.Treat
EB.09S.H.00340,BLOIS_2014_OPT
EB.09S.H.00341,BLOIS_2014_OPT
EB.09S.H.00348,BLOIS_2014_OPT
EB.09S.H.00349,BLOIS_2014_OPT
EB.09S.H.00352,BLOIS_2014_OPT
EB.09S.H.00353,BLOIS_2014_OPT
EB.09S.H.00356,BLOIS_2014_OPT
EB.09S.H.00357,BLOIS_2014_OPT
EB.09S.H.00359,BLOIS_2014_OPT
EB.09S.H.00360,BLOIS_2014_OPT
EB.09S.H.00362,BLOIS_2014_OPT
EB.09S.H.00364,BLOIS_2014_OPT
EB.09S.H.00368,BLOIS_2014_OPT
EB.09S.H.00372,BLOIS_2014_OPT
EB.09S.H.00373,BLOIS_2014_OPT
EB.09S.H.00374,BLOIS_2014_OPT
EB.09S.H.00377,BLOIS_2014_OPT
EB.09S.H.00378,BLOIS_2014_OPT
EB.09S.H.00382,BLOIS_2014_OPT
EB.09S.H.00383,BLOIS_2014_OPT
EB.09S.H.00385,BLOIS_2014_OPT
EB.09S.H.00388,BLOIS_2014_OPT
EB.09S.H.00389,BLOIS_2014_OPT
EB.09S.H.00390,BLOIS_2014_OPT
EB.09S.H.00393,BLOIS_2014_OPT
EB.09S.H.00394,BLOIS_2014_OPT
EB.09S.H.00398,BLOIS_2014_OPT
EB.09S.H.00399,BLOIS_2014_OPT
EB.09S.H.00402,BLOIS_2014_OPT
EB.09S.H.00404,BLOIS_2014_OPT
EB.09S.H.00407,BLOIS_2014_OPT
EB.09S.H.00409,BLOIS_2014_OPT
EB.09S.H.00410,BLOIS_2014_OPT
EB.09S.H.00413,BLOIS_2014_OPT
EB.09S.H.00414,BLOIS_2014_OPT
EB.09S.H.00416,BLOIS_2014_OPT
EB.09S.H.00417,BLOIS_2014_OPT
EB.09S.H.00418,BLOIS_2014_OPT
EB.09S.H.00419,BLOIS_2014_OPT
EB.09S.H.00421,BLOIS_2014_OPT
EB.09S.H.00424,BLOIS_2014_OPT
EB.09S.H.00425,BLOIS_2014_OPT
EB.09S.H.00426,BLOIS_2014_OPT
EB.09S.H.00427,BLOIS_2014_OPT
EB.09S.H.00429,BLOIS_2014_OPT
EB.09S.H.00433,BLOIS_2014_OPT
EB.09S.H.00436,BLOIS_2014_OPT
EB.09S.H.00439,BLOIS_2014_OPT
EB.09S.H.00444,BLOIS_2014_OPT
EB.09S.H.00445,BLOIS_2014_OPT
EB.09S.H.00446,BLOIS_2014_OPT
EB.09S.H.00448,BLOIS_2014_OPT
EB.09S.H.00451,BLOIS_2014_OPT
EB.09S.H.00453,BLOIS_2014_OPT
EB.09S.H.00454,BLOIS_2014_OPT
EB.09S.H.00455,BLOIS_2014_OPT
EB.09S.H.00457,BLOIS_2014_OPT
EB.09S.H.00465,BLOIS_2014_OPT
EB.09S.H.00469,BLOIS_2014_OPT
EB.09S.H.00471,BLOIS_2014_OPT
EB.09S.H.00472,BLOIS_2014_OPT
EB.09S.H.00474,BLOIS_2014_OPT
EB.09S.H.00476,BLOIS_2014_OPT
EB.09S.H.00477,BLOIS_2014_OPT
EB.09S.H.00480,BLOIS_2014_OPT
EB.09S.H.00481,BLOIS_2014_OPT
EB.09S.H.00482,BLOIS_2014_OPT
EB.09S.H.00484,BLOIS_2014_OPT
EB.09S.H.00485,BLOIS_2014_OPT
EB.09S.H.00488,BLOIS_2014_OPT
EB.09S.H.00493,BLOIS_2014_OPT
EB.09S.H.00496,BLOIS_2014_OPT
EB.09S.H.00498,BLOIS_2014_OPT
EB.09S.H.00500,BLOIS_2014_OPT
EB.09S.H.00502,BLOIS_2014_OPT
EB.09S.H.00504,BLOIS_2014_OPT
EB.09S.H.00506,BLOIS_2014_OPT
EB.09S.H.00507,BLOIS_2014_OPT
EB.09S.H.00509,BLOIS_2014_OPT
EB.09S.H.00512,BLOIS_2014_OPT
EB.09S.H.00513,BLOIS_2014_OPT
EB.09S.H.00518,BLOIS_2014_OPT
EB.09S.H.00519,BLOIS_2014_OPT
EB.09S.H.00520,BLOIS_2014_OPT
EB.09S.H.00522,BLOIS_2014_OPT
EB.09S.H.00523,BLOIS_2014_OPT
EB.09S.H.00524,BLOIS_2014_OPT
EB.09S.H.00525,BLOIS_2014_OPT
EB.09S.H.00530,BLOIS_2014_OPT
EB.10H.H.00005,BLOIS_2014_OPT
EB.10H.H.00006,BLOIS_2014_OPT
EB.10H.H.00007,BLOIS_2014_OPT
EB.10H.H.00018,BLOIS_2014_OPT
EB.10H.H.00020,BLOIS_2014_OPT
EB.10H.H.00021,BLOIS_2014_OPT
EB.10H.H.00023,BLOIS_2014_OPT
EB.10H.H.00025,BLOIS_2014_OPT
EB.10H.H.00029,BLOIS_2014_OPT
EB.10H.H.00030,BLOIS_2014_OPT
EB.10H.H.00031,BLOIS_2014_OPT
EB.10H.H.00032,BLOIS_2014_OPT
EB.10H.H.00034,BLOIS_2014_OPT
